63,247,31,76,9,48,0.66,23,2
72,190,39,94,10,48,0.73,27,2
68,159,44,88,10,51,0.83,20,2
85,222,62,108,11,57,1.04,32,2
102,284,75,143,7,42,0.8,36,3
105,289,78,122,5,40,0.97,19,3
92,351,52,129,7,29,0.63,35,2
67,324,18,84,7,23,0.48,38,2
63,278,30,79,9,44,0.56,26,2
68,232,37,86,11,49,0.57,30,2
61,159,28,77,8,32,0.42,37,2
86,224,41,122,25,53,0.67,31,2
95,256,55,141,28,66,0.82,29,2
119,289,72,187,24,83,1.3,18,3
115,238,74,180,21,74,1.24,25,3
259,365,95,374,9,36,0.92,38,6
94,317,44,138,8,32,0.51,42,2
107,354,55,165,16,55,0.77,28,3
105,324,64,159,18,68,0.95,30,3
89,222,55,128,16,68,0.85,38,2
84,167,62,109,11,50,0.88,51,2
111,226,84,112,6,46,0.97,35,3
79,144,58,78,4,37,0.94,39,2
74,105,54,74,6,43,0.98,27,2
58,113,41,56,5,37,0.9,21,2
94,226,70,88,4,29,1.03,50,2
105,229,78,100,5,39,1.19,20,3
59,148,41,68,4,32,0.89,48,2
119,340,46,189,6,34,0.66,50,3
106,318,47,161,11,57,0.74,20,3
92,251,51,134,10,53,0.76,11,2
63,247,31,76,9,48,0.66,23,2
72,190,39,94,10,48,0.73,27,2
68,159,44,88,10,51,0.83,20,2
85,222,62,108,11,57,1.04,32,2
102,284,75,143,7,42,0.8,36,3
105,289,78,122,5,40,0.97,19,3
92,351,52,129,7,29,0.63,35,2
67,324,18,84,7,23,0.48,38,2
63,278,30,79,9,44,0.56,26,2
68,232,37,86,11,49,0.57,30,2
61,159,28,77,8,32,0.42,37,2
86,224,41,122,25,53,0.67,31,2
95,256,55,141,28,66,0.82,29,2
119,289,72,187,24,83,1.3,18,3
115,238,74,180,21,74,1.24,25,3
259,365,95,374,9,36,0.92,38,6
94,317,44,138,8,32,0.51,42,2
107,354,55,165,16,55,0.77,28,3
105,324,64,159,18,68,0.95,30,3
89,222,55,128,16,68,0.85,38,2
84,167,62,109,11,50,0.88,51,2
111,226,84,112,6,46,0.97,35,3
79,144,58,78,4,37,0.94,39,2
74,105,54,74,6,43,0.98,27,2
58,113,41,56,5,37,0.9,21,2
94,226,70,88,4,29,1.03,50,2
105,229,78,100,5,39,1.19,20,3
59,148,41,68,4,32,0.89,48,2
119,340,46,189,6,34,0.66,50,3
106,318,47,161,11,57,0.74,20,3
92,251,51,134,10,53,0.76,11,2
